Created as New Dataset, , 
nm, %T, 
800.0, 67.76, 
799.0, 68.04, 
798.0, 67.91, 
797.0, 68.13, 
796.0, 68.40, 
795.0, 67.91, 
794.0, 68.26, 
793.0, 67.66, 
792.0, 68.22, 
791.0, 68.22, 
790.0, 67.91, 
789.0, 68.03, 
788.0, 67.87, 
787.0, 67.83, 
786.0, 67.89, 
785.0, 68.21, 
784.0, 67.49, 
783.0, 68.08, 
782.0, 68.06, 
781.0, 67.90, 
780.0, 67.77, 
779.0, 67.83, 
778.0, 67.75, 
777.0, 67.63, 
776.0, 67.65, 
775.0, 67.81, 
774.0, 67.75, 
773.0, 67.20, 
772.0, 67.22, 
771.0, 67.41, 
770.0, 67.13, 
769.0, 67.26, 
768.0, 67.23, 
767.0, 67.29, 
766.0, 67.40, 
765.0, 67.14, 
764.0, 66.90, 
763.0, 66.86, 
762.0, 67.09, 
761.0, 67.07, 
760.0, 66.93, 
759.0, 67.31, 
758.0, 66.63, 
757.0, 66.83, 
756.0, 67.25, 
755.0, 66.95, 
754.0, 66.76, 
753.0, 66.76, 
752.0, 66.98, 
751.0, 66.76, 
750.0, 66.90, 
749.0, 67.07, 
748.0, 67.15, 
747.0, 66.91, 
746.0, 66.72, 
745.0, 66.57, 
744.0, 66.48, 
743.0, 66.55, 
742.0, 66.32, 
741.0, 66.48, 
740.0, 66.62, 
739.0, 66.39, 
738.0, 66.01, 
737.0, 66.15, 
736.0, 66.36, 
735.0, 65.91, 
734.0, 66.28, 
733.0, 66.30, 
732.0, 66.39, 
731.0, 66.65, 
730.0, 66.47, 
729.0, 66.30, 
728.0, 66.21, 
727.0, 66.03, 
726.0, 66.10, 
725.0, 66.41, 
724.0, 66.41, 
723.0, 66.06, 
722.0, 65.67, 
721.0, 65.66, 
720.0, 65.57, 
719.0, 65.69, 
718.0, 65.85, 
717.0, 65.90, 
716.0, 65.68, 
715.0, 65.72, 
714.0, 65.55, 
713.0, 65.41, 
712.0, 65.58, 
711.0, 65.32, 
710.0, 65.50, 
709.0, 65.41, 
708.0, 65.26, 
707.0, 65.28, 
706.0, 65.26, 
705.0, 64.96, 
704.0, 64.92, 
703.0, 65.16, 
702.0, 65.23, 
701.0, 65.06, 
700.0, 65.00, 
699.0, 64.93, 
698.0, 64.94, 
697.0, 65.12, 
696.0, 65.18, 
695.0, 65.21, 
694.0, 65.16, 
693.0, 65.10, 
692.0, 64.96, 
691.0, 64.67, 
690.0, 64.45, 
689.0, 62.90, 
688.0, 61.09, 
687.0, 61.39, 
686.0, 61.37, 
685.0, 61.04, 
684.0, 61.06, 
683.0, 61.20, 
682.0, 61.17, 
681.0, 61.01, 
680.0, 60.77, 
679.0, 60.72, 
678.0, 60.63, 
677.0, 60.32, 
676.0, 60.34, 
675.0, 60.58, 
674.0, 60.55, 
673.0, 60.59, 
672.0, 60.42, 
671.0, 60.24, 
670.0, 60.35, 
669.0, 60.25, 
668.0, 60.30, 
667.0, 60.21, 
666.0, 60.15, 
665.0, 60.09, 
664.0, 60.01, 
663.0, 60.09, 
662.0, 60.13, 
661.0, 60.06, 
660.0, 60.20, 
659.0, 60.11, 
658.0, 59.82, 
657.0, 59.75, 
656.0, 59.89, 
655.0, 59.90, 
654.0, 60.06, 
653.0, 59.92, 
652.0, 59.48, 
651.0, 59.35, 
650.0, 59.56, 
649.0, 59.57, 
648.0, 59.65, 
647.0, 59.51, 
646.0, 59.39, 
645.0, 59.23, 
644.0, 59.38, 
643.0, 59.31, 
642.0, 59.08, 
641.0, 59.20, 
640.0, 59.06, 
639.0, 59.09, 
638.0, 59.28, 
637.0, 58.98, 
636.0, 58.90, 
635.0, 58.93, 
634.0, 59.13, 
633.0, 58.71, 
632.0, 58.42, 
631.0, 58.34, 
630.0, 58.26, 
629.0, 58.43, 
628.0, 58.62, 
627.0, 58.37, 
626.0, 58.13, 
625.0, 57.83, 
624.0, 57.94, 
623.0, 57.78, 
622.0, 58.03, 
621.0, 58.11, 
620.0, 57.74, 
619.0, 57.86, 
618.0, 57.95, 
617.0, 57.65, 
616.0, 57.42, 
615.0, 57.14, 
614.0, 57.15, 
613.0, 57.15, 
612.0, 57.27, 
611.0, 57.16, 
610.0, 56.88, 
609.0, 57.02, 
608.0, 57.11, 
607.0, 57.03, 
606.0, 56.76, 
605.0, 56.50, 
604.0, 56.39, 
603.0, 56.80, 
602.0, 56.57, 
601.0, 56.73, 
600.0, 56.30, 
599.0, 55.87, 
598.0, 55.88, 
597.0, 55.72, 
596.0, 55.63, 
595.0, 55.58, 
594.0, 55.60, 
593.0, 55.31, 
592.0, 55.59, 
591.0, 55.40, 
590.0, 55.11, 
589.0, 55.25, 
588.0, 54.74, 
587.0, 54.18, 
586.0, 54.03, 
585.0, 53.72, 
584.0, 53.43, 
583.0, 52.71, 
582.0, 52.50, 
581.0, 51.49, 
580.0, 50.84, 
579.0, 50.23, 
578.0, 48.63, 
577.0, 47.28, 
576.0, 45.18, 
575.0, 42.54, 
574.0, 39.89, 
573.0, 36.33, 
572.0, 32.71, 
571.0, 28.48, 
570.0, 23.75, 
569.0, 18.90, 
568.0, 14.37, 
567.0, 9.86, 
566.0, 5.93, 
565.0, 3.46, 
564.0, 1.40, 
563.0, 0.62, 
562.0, 0.06, 
561.0, -0.10, 
560.0, 0.16, 
559.0, 0.38, 
558.0, 0.46, 
557.0, 0.60, 
556.0, -0.18, 
555.0, 0.59, 
554.0, -0.28, 
553.0, -0.38, 
552.0, -0.42, 
551.0, -0.38, 
550.0, 0.01, 
549.0, -0.08, 
548.0, 0.35, 
547.0, 0.46, 
546.0, 0.34, 
545.0, 0.20, 
544.0, 0.51, 
543.0, 0.43, 
542.0, 0.51, 
541.0, 0.20, 
540.0, 0.41, 
539.0, 0.11, 
538.0, -0.12, 
537.0, -0.04, 
536.0, -0.24, 
535.0, 0.39, 
534.0, 0.47, 
533.0, 0.11, 
532.0, 0.32, 
531.0, -0.16, 
530.0, -0.02, 
529.0, 0.21, 
528.0, 0.41, 
527.0, -0.16, 
526.0, 0.11, 
525.0, 0.12, 
524.0, -0.11, 
523.0, 0.47, 
522.0, 0.11, 
521.0, -0.01, 
520.0, 0.36, 
519.0, -0.18, 
518.0, 0.38, 
517.0, -0.24, 
516.0, -0.25, 
515.0, -0.21, 
514.0, 0.16, 
513.0, 0.38, 
512.0, -0.37, 
511.0, -0.59, 
510.0, -0.59, 
509.0, -0.33, 
508.0, -0.63, 
507.0, -0.37, 
506.0, 0.07, 
505.0, -0.32, 
504.0, -0.64, 
503.0, -0.39, 
502.0, -0.42, 
501.0, -0.15, 
500.0, -0.35, 
499.0, -0.56, 
498.0, -0.67, 
497.0, -0.80, 
496.0, -0.24, 
495.0, -0.69, 
494.0, -0.55, 
493.0, -0.55, 
492.0, -0.83, 
491.0, -0.33, 
490.0, -0.01, 
489.0, 0.14, 
488.0, -0.25, 
487.0, -0.37, 
486.0, 0.19, 
485.0, 0.01, 
484.0, -0.07, 
483.0, 0.09, 
482.0, 0.41, 
481.0, 0.68, 
480.0, 0.56, 
479.0, 0.42, 
478.0, 0.61, 
477.0, 0.39, 
476.0, 0.21, 
475.0, 0.07, 
474.0, 0.12, 
473.0, 0.42, 
472.0, 0.35, 
471.0, 0.21, 
470.0, -0.14, 
469.0, 0.10, 
468.0, -0.18, 
467.0, -0.56, 
466.0, -0.42, 
465.0, -0.67, 
464.0, -0.61, 
463.0, -0.35, 
462.0, -0.39, 
461.0, -0.43, 
460.0, 0.01, 
459.0, 0.09, 
458.0, -0.01, 
457.0, 0.00, 
456.0, -0.07, 
455.0, -0.15, 
454.0, -0.01, 
453.0, -0.41, 
452.0, -0.27, 
451.0, -0.02, 
450.0, 0.03, 
449.0, 0.12, 
448.0, 0.14, 
447.0, 0.25, 
446.0, 0.15, 
445.0, 0.18, 
444.0, 0.06, 
443.0, -0.02, 
442.0, -0.22, 
441.0, -0.41, 
440.0, -0.13, 
439.0, 0.03, 
438.0, -0.07, 
437.0, -0.17, 
436.0, -0.14, 
435.0, -0.19, 
434.0, -0.21, 
433.0, -0.09, 
432.0, -0.31, 
431.0, -0.36, 
430.0, -0.25, 
429.0, -0.01, 
428.0, 0.21, 
427.0, 0.29, 
426.0, 0.18, 
425.0, 0.06, 
424.0, 0.11, 
423.0, 0.27, 
422.0, 0.43, 
421.0, -0.06, 
420.0, -0.31, 
419.0, -0.42, 
418.0, -0.24, 
417.0, 0.00, 
416.0, 0.10, 
415.0, 0.07, 
414.0, 0.08, 
413.0, 0.24, 
412.0, 0.13, 
411.0, -0.23, 
410.0, -0.13, 
409.0, -0.21, 
408.0, -0.42, 
407.0, -0.24, 
406.0, -0.03, 
405.0, 0.05, 
404.0, -0.18, 
403.0, -0.43, 
402.0, -0.41, 
401.0, 0.10, 
400.0, 0.40, 
